Firm,Website,Firm's Investment Category,HQ
CommerzVentures GmbH,www.commerzventures.de,"Social, SaaS, Finance, Real Estate, Mobile, E-Commerce, Consumer","Frankfurt, Hessen, Germany"
Compound,compound.vc,"Big Data, Social, E-Commerce, Mobile, Retail, SaaS, Enterprise","New York, New York, United States"
Concentric,concentricteam.com,"Retail, Big Data, E-Commerce, Delivery, AI/ML, Consumer","London, England, United Kingdom"
Connect Ventures,www.connectventures.co,"Transportation, Media, SaaS, Travel, Finance, E-Commerce, Mobile","London, England, United Kingdom"
Conor Venture Partners,www.conor.vc,"Enterprise, Finance, Life Sci., Big Data, Mobile, SaaS","Espoo, Southern Finland, Finland"
Converge Venture Partners,converge.vc,"Big Data, AI/ML, Social","Cambridge, Massachusetts, United States"
Corazon Capital,www.corazoncap.com,"AI/ML, Enterprise, Energy, Big Data, Consumer, Mobile, Finance","Chicago, Illinois, United States"
Correlation Ventures,correlationvc.com,"Social, SaaS, Enterprise, Mobile, Healthcare, E-Commerce, Big Data","San Diego, California, United States"
Cota Capital,cotacapital.com,"Healthcare, AI/ML, Finance, Enterprise, Mobile, Big Data, SaaS","San Francisco, California, United States"
Courtside Ventures,courtsidevc.com,"Enterprise, AR/VR, Mobile, Sports, Consumer, Social, Gaming","New York, New York, United States"
Cowboy Ventures,cowboy.vc,"Retail, Finance, E-Commerce, Enterprise, Mobile, Social, Consumer",
CRCM Ventures,www.crcmvc.com,"AR/VR, AI/ML, Finance, Enterprise, Mobile, Life Sci., Healthcare","San Francisco, California, United States"
Creandum,www.creandum.com,"SaaS, Enterprise, Finance, Mobile, Big Data","Stockholm, Stockholms Lan, Sweden"
Credo Ventures,www.credoventures.com,"Mobile, Security, AI/ML, Big Data, IoT, Enterprise, SaaS","Prague, Hlavni mesto Praha, Czech Republic"
Cross Creek Advisors,crosscreekadvisors.com,"Mobile, Media, Healthcare, Life Sci., Enterprise, Security, Big Data","Salt Lake City, Utah, United States"
Cross Culture Ventures,crossculturevc.com,"AI/ML, Healthcare, Enterprise, Media, Education, Social, Retail","Culver City, California, United States"
Crosslink Capital,www.crosslinkcapital.com,"E-Commerce, Big Data, Mobile, Enterprise, SaaS, Social, Consumer","San Francisco, California, United States"
CRV,www.crv.com,"E-Commerce, Enterprise, Mobile, Social, Consumer","Palo Alto, California, United States"
Daphni,daphni.com,"SaaS, Mobile, Consumer, Finance, Big Data, Food & Drink, AI/ML","Paris, Ile-de-France, France"
Darling Ventures,darlingventures.com,"Healthcare, Social, Enterprise, Big Data, Security, AI/ML, Mobile","San Francisco, California, United States"
Data Collective,dcvc.com,"Finance, Mobile, AI/ML, Enterprise, Healthcare, Big Data, SaaS","San Francisco, California, United States"
Dawn Capital,dawncapital.com,"Finance, Retail, SaaS, Enterprise, Big Data","London, England, United Kingdom"
DCM Ventures,www.dcm.com,"Social, Healthcare, Finance, Enterprise, E-Commerce, Mobile, Consumer","Menlo Park, California, United States"
Deep Space Ventures,deepspacevc.com,"AI/ML, Sports, Healthcare, Gaming, Enterprise, Big Data, SaaS","Dallas, Texas, United States"
Detroit Venture Partners,detroit.vc,"Education, E-Commerce, Big Data, Finance, Social, Media, Mobile","Detroit, Michigan, United States"
DHVC (Danhua Capital),danhuacap.com,"Enterprise, SaaS, AI/ML, Mobile, Big Data","Palo Alto, California, United States"
DN Capital,dncapital.com,"Mobile, Marketplace, E-Commerce, Enterprise, Finance, SaaS, Consumer","London, England, United Kingdom"
Draper Associates,www.draper.vc,"SaaS, Finance, Marketplace, Mobile, Enterprise","Menlo Park, California, United States"
Draper Esprit,draperesprit.com,"Big Data, Social, SaaS, Mobile, Healthcare, E-Commerce, Life Sci.","London, England, United Kingdom"
Draper Fisher Jurvetson,dfj.com,"Energy, Mobile, Social, Enterprise, E-Commerce, Healthcare, Big Data","Menlo Park, California, United States"
Draper Nexus Ventures,www.drapernexus.com,"Big Data, AI/ML, Security, Enterprise, Mobile, Healthcare, SaaS","San Mateo, California, United States"
DvH Ventures,dvhventures.de,,"Köln, Nordrhein-Westfalen, Germany"
e.ventures,www.eventures.vc,"SaaS, Social, Mobile, E-Commerce, Finance, Enterprise, Consumer","San Francisco, California, United States"
Earlybird Venture Capital,earlybird.com,"Enterprise, Healthcare, Mobile, Finance","Berlin, Berlin, Germany"
East Ventures,east.vc,"Marketplace, Finance, Mobile, Enterprise, E-Commerce, Consumer","Tokyo, Tokyo, Japan"
Eastside Partners,www.eastsidepartners.com,"Finance, Mobile, Life Sci., SaaS, Enterprise, Healthcare","Huntsville, Alabama, United States"
Eclipse,eclipse.vc,"Big Data, Healthcare, AI/ML, Mobile, Robotics","Palo Alto, California, United States"
Eight Roads Ventures,eightroads.com,"Mobile, Life Sci., SaaS, Big Data, Finance, Enterprise, Healthcare","London, England, United Kingdom"
Eileses Capital,eileses.com,"SaaS, Consumer, Food & Drink, Transportation, AI/ML, Security, Enterprise","San Francisco, California, United States"
Elevar Equity,www.elevarequity.com,Finance,"Seattle, Washington, United States"
Emergence Capital Partners,www.emcap.com,"Enterprise, Big Data, Social, Mobile, SaaS","San Mateo, California, United States"
