GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
0100000US,,United States,310M300US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",93277,30848,62574,31726,62059,5735,56324,19035,4095,8774,4679,14880,947,13933
0100000US,,United States,310M300US14460,14460,"United States - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",283935,116075,374563,258488,171015,226725,-55710,30589,13786,51406,37620,16890,35142,-18252
0100000US,,United States,310M300US14500,14500,"United States - Boulder, CO Metro Area","Boulder, CO Metro Area",27942,8936,21163,12227,18871,5562,13309,1341,987,2840,1853,359,863,-504
0100000US,,United States,310M300US14540,14540,"United States - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",16236,4834,15126,10292,11386,4232,7154,2996,715,2172,1457,2279,698,1581
0100000US,,United States,310M300US14740,14740,"United States - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",15277,6578,21880,15302,8614,2143,6471,3305,830,3127,2297,2471,153,2318
0100000US,,United States,310M300US14860,14860,"United States - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",33075,25684,73454,47770,7582,41711,-34129,730,3147,9921,6774,-2472,6218,-8690
0100000US,,United States,310M300US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",17506,34686,53118,18432,-17233,5303,-22536,1959,4308,7047,2739,-2356,1047,-3403
0100000US,,United States,310M300US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",5751,1405,9546,8141,4354,969,3385,1164,75,1283,1208,1089,163,926
0100000US,,United States,310M300US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1239,964,88239,87275,972,26037,-25065,1942,223,12182,11959,1757,3972,-2215
0100000US,,United States,310M300US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",11193,1527,12916,11389,9709,1099,8610,3066,219,1823,1604,2841,188,2653
0100000US,,United States,310M300US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",7133,5181,16052,10871,2124,4281,-2157,966,664,2174,1510,303,732,-429
0100000US,,United States,310M300US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",7519,4865,10397,5532,2666,1385,1281,832,598,1441,843,239,143,96
0100000US,,United States,310M300US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",-4501,477,32199,31722,-4679,1118,-5797,-1238,68,4434,4366,-1295,174,-1469
0100000US,,United States,310M300US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",120470,-149,47191,47340,119306,20169,99137,16718,-525,6892,7417,17174,3174,14000
0100000US,,United States,310M300US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",507,1172,8275,7103,-653,813,-1466,-303,106,1084,978,-412,109,-521
0100000US,,United States,310M300US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",-968,2030,10828,8798,-3050,2080,-5130,-1060,292,1524,1232,-1360,317,-1677
0100000US,,United States,310M300US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",-529,-797,4133,4930,247,-1,248,462,-85,572,657,545,19,526
0100000US,,United States,310M300US16220,16220,"United States - Casper, WY Metro Area","Casper, WY Metro Area",4097,2987,8110,5123,1013,195,818,-1345,373,1094,721,-1727,34,-1761
0100000US,,United States,310M300US16300,16300,"United States - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",12352,8429,23743,15314,4099,2501,1598,2368,1165,3332,2167,1215,396,819
0100000US,,United States,310M300US16540,16540,"United States - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",4616,2581,13207,10626,2191,1426,765,670,223,1810,1587,456,234,222
0100000US,,United States,310M300US16580,16580,"United States - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",7235,7819,19582,11763,-683,13151,-13834,-11,970,2673,1703,-1004,1973,-2977
0100000US,,United States,310M300US16620,16620,"United States - Charleston, WV Metro Area","Charleston, WV Metro Area",-12655,-2778,18078,20856,-9772,604,-10376,-3329,-555,2318,2873,-2780,110,-2890
0100000US,,United States,310M300US16700,16700,"United States - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",111187,28828,67679,38851,81055,6518,74537,13927,3595,9675,6080,10290,702,9588
0100000US,,United States,310M300US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",308313,90002,217525,127523,216864,39380,177484,49786,12306,31315,19009,37381,6279,31102
0100000US,,United States,310M300US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",15086,4589,17349,12760,10571,6188,4383,2633,499,2328,1829,2134,977,1157
0100000US,,United States,310M300US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",28396,6667,45715,39048,21764,3239,18525,4591,713,6423,5710,3881,516,3365
0100000US,,United States,310M300US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",6446,3619,9318,5699,2824,521,2303,359,472,1317,845,-107,-3,-104
0100000US,,United States,310M300US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",71499,367709,869178,501469,-296320,183162,-479482,-13286,43424,115915,72491,-56875,28302,-85177
0100000US,,United States,310M300US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",9292,1211,17691,16480,8189,1840,6349,2769,100,2473,2373,2662,316,2346
0100000US,,United States,310M300US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",64396,60171,196146,135975,5243,26502,-21259,13053,7340,26855,19515,5826,4285,1541
0100000US,,United States,310M300US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",24407,22590,36476,13886,1425,6992,-5567,4199,3036,5074,2038,1139,277,862
0100000US,,United States,310M300US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",6559,997,9670,8673,5584,803,4781,1140,101,1327,1226,1036,147,889
0100000US,,United States,310M300US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",-18427,15223,168361,153138,-33117,31236,-64353,-1221,1805,22873,21068,-2963,5045,-8008
0100000US,,United States,310M300US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",19173,3534,12815,9281,15551,-244,15795,4493,468,1856,1388,4010,-26,4036
0100000US,,United States,310M300US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",29376,13138,22862,9724,16156,10249,5907,3814,1919,3342,1423,1892,1598,294
0100000US,,United States,310M300US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",78263,38264,68968,30704,39951,10304,29647,13132,5085,9861,4776,8005,799,7206
0100000US,,United States,310M300US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",15628,7868,15274,7406,7756,4882,2874,1716,1017,2073,1056,701,730,-29
0100000US,,United States,310M300US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",57557,21416,68585,47169,36318,10671,25647,7590,2564,9523,6959,5047,1377,3670
0100000US,,United States,310M300US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",8280,13057,33122,20065,-5346,6631,-11977,-2901,1236,4256,3020,-4148,465,-4613
0100000US,,United States,310M300US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",5254,2469,7712,5243,2817,2389,428,167,409,1109,700,-241,392,-633
0100000US,,United States,310M300US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",176724,88481,197185,108704,88676,45744,42932,31748,11830,27663,15833,19912,7350,12562
0100000US,,United States,310M300US18580,18580,"United States - Corpus Christi, TX Metro Area","Corpus Christi, TX Metro Area",25820,17135,44374,27239,8709,5230,3479,-58,2316,6180,3864,-2383,791,-3174
0100000US,,United States,310M300US18700,18700,"United States - Corvallis, OR Metro Area","Corvallis, OR Metro Area",5359,1310,5368,4058,4036,3192,844,1655,178,760,582,1474,508,966
0100000US,,United States,310M300US18880,18880,"United States - Crestview-Fort Walton Beach-Destin, FL Metro Area","Crestview-Fort Walton Beach-Destin, FL Metro Area",35481,8783,24958,16175,26348,3639,22709,5991,1118,3573,2455,4844,257,4587
0100000US,,United States,310M300US19060,19060,"United States - Cumberland, MD-WV Metro Area","Cumberland, MD-WV Metro Area",-4424,-1837,7033,8870,-2556,554,-3110,-679,-253,947,1200,-425,92,-517
0100000US,,United States,310M300US19100,19100,"United States - Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area",973431,415968,715339,299371,555586,185964,369622,146238,56597,102423,45826,89627,30798,58829
0100000US,,United States,310M300US19140,19140,"United States - Dalton, GA Metro Area","Dalton, GA Metro Area",2213,5473,13827,8354,-3215,870,-4085,366,664,1886,1222,-297,175,-472
0100000US,,United States,310M300US19180,19180,"United States - Danville, IL Metro Area","Danville, IL Metro Area",-3716,692,7617,6925,-4417,177,-4594,-651,122,1031,909,-772,33,-805
0100000US,,United States,310M300US19300,19300,"United States - Daphne-Fairhope-Foley, AL Metro Area","Daphne-Fairhope-Foley, AL Metro Area",30363,1712,16068,14356,28263,1156,27107,5119,235,2325,2090,4866,164,4702
0100000US,,United States,310M300US19340,19340,"United States - Davenport-Moline-Rock Island, IA-IL Metro Area","Davenport-Moline-Rock Island, IA-IL Metro Area",2574,8203,34784,26581,-5539,4817,-10356,-408,1145,4757,3612,-1549,825,-2374
0100000US,,United States,310M300US19380,19380,"United States - Dayton, OH Metro Area","Dayton, OH Metro Area",4165,10119,69855,59736,-5634,11230,-16864,2530,1256,9615,8359,1308,1654,-346
0100000US,,United States,310M300US19460,19460,"United States - Decatur, AL Metro Area","Decatur, AL Metro Area",-1958,913,12896,11983,-2802,553,-3355,-184,81,1764,1683,-264,94,-358
0100000US,,United States,310M300US19500,19500,"United States - Decatur, IL Metro Area","Decatur, IL Metro Area",-4967,1104,9821,8717,-6090,457,-6547,-850,157,1313,1156,-1009,71,-1080
0100000US,,United States,310M300US19660,19660,"United States - Deltona-Daytona Beach-Ormond Beach, FL Metro Area","Deltona-Daytona Beach-Ormond Beach, FL Metro Area",58908,-15634,40643,56277,74152,10550,63602,12359,-2342,5868,8210,14650,1731,12919
0100000US,,United States,310M300US19740,19740,"United States - Denver-Aurora-Lakewood, CO Metro Area","Denver-Aurora-Lakewood, CO Metro Area",344635,132149,253263,121114,209394,44577,164817,36379,17297,35764,18467,19015,7034,11981
0100000US,,United States,310M300US19780,19780,"United States - Des Moines-West Des Moines, IA Metro Area","Des Moines-West Des Moines, IA Metro Area",76278,32395,63958,31563,43634,11592,32042,11171,4541,9172,4631,6619,1807,4812
0100000US,,United States,310M300US19820,19820,"United States - Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area",16685,71030,364121,293091,-54640,86366,-141006,7133,8865,49940,41075,-1649,13214,-14863
0100000US,,United States,310M300US20020,20020,"United States - Dothan, AL Metro Area","Dothan, AL Metro Area",2271,1097,12831,11734,1266,210,1056,133,63,1740,1677,77,33,44
0100000US,,United States,310M300US20100,20100,"United States - Dover, DE Metro Area","Dover, DE Metro Area",14475,5187,16074,10887,9267,2399,6868,2070,505,2172,1667,1567,283,1284
0100000US,,United States,310M300US20220,20220,"United States - Dubuque, IA Metro Area","Dubuque, IA Metro Area",3388,2334,8753,6419,1120,496,624,337,354,1219,865,-14,71,-85
0100000US,,United States,310M300US20260,20260,"United States - Duluth, MN-WI Metro Area","Duluth, MN-WI Metro Area",-989,-229,20492,20721,-533,1502,-2035,-172,-104,2727,2831,-56,243,-299
0100000US,,United States,310M300US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",60805,20764,47638,26874,39686,16163,23523,8508,2530,6549,4019,5982,2522,3460
0100000US,,United States,310M300US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",-1792,198,10283,10085,-2016,2121,-4137,1530,-109,1408,1517,1650,342,1308
0100000US,,United States,310M300US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",6094,4005,13849,9844,2174,790,1384,1032,564,1894,1330,476,135,341
0100000US,,United States,310M300US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",8302,15425,22531,7106,-7219,2918,-10137,1850,2076,3106,1030,-220,558,-778
0100000US,,United States,310M300US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",2079,5174,14433,9259,-3302,2258,-5560,1490,533,1856,1323,963,145,818
0100000US,,United States,310M300US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",7471,10593,22299,11706,-3049,917,-3966,886,1524,3145,1621,-636,195,-831
